player_id,fifa_version,overall,potential,age,height_cm,weight_kg,club_team_id,club_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,goals,assists,club_position_mapped,primary_position,has_multiple_positions,primary_position_mapped,years_remaining,log_value_eur,log_wage_eur,work_rate_High/High,work_rate_High/Low,work_rate_High/Medium,work_rate_Low/High,work_rate_Low/Low,work_rate_Low/Medium,work_rate_Medium/High,work_rate_Medium/Low,work_rate_Medium/Medium,body_type_Lean (170-),body_type_Lean (170-185),body_type_Lean (185+),body_type_Normal (170-),body_type_Normal (170-185),body_type_Normal (185+),body_type_Stocky (170-),body_type_Stocky (170-185),body_type_Stocky (185+),body_type_Unique
96,21,84.0,84.0,2.2174792772556393,-0.4771440577321498,-1.1734899440106799,6,25.0,Right,4.0,3.0,3.0,64.0,72.0,78.0,78.0,85.0,79.0,68.0,66.0,0,2,8,CB,1,11,0.0,0.7073061431805547,1.0860381801945582,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,21,84.0,84.0,1.7764361539922093,0.9405153309657609,1.667425037426123,15,1.0,Right,3.0,1.0,2.0,,,,,,,18.0,12.0,0,0,5,GK,0,5,2.0,0.8341151609511319,0.9181738749845563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
367,21,84.0,84.0,1.5559145923604942,1.082281269835552,1.0217625416450313,18,11.0,Left,2.0,1.0,3.0,,,,,,,12.0,12.0,0,0,5,GK,0,5,1.0,1.107698692174068,0.9181738749845563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
460,21,84.0,84.0,1.114871469097064,-0.6189099966019409,0.11783504755150319,2,28.0,Right,3.0,2.0,3.0,67.0,55.0,77.0,72.0,84.0,76.0,81.0,46.0,1,2,10,RB,1,10,1.0,1.449987023010395,1.1588247132919163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
791,21,84.0,85.0,0.23278522257020354,-0.6189099966019409,-0.2695624499171517,3,12.0,Left,2.0,3.0,2.0,78.0,69.0,80.0,79.0,80.0,76.0,87.0,60.0,0,7,6,LB,0,6,2.0,1.586459093000683,1.0860381801945582,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
937,21,84.0,84.0,0.8943499074653488,1.082281269835552,0.6343650441763764,18,9.0,Right,4.0,3.0,3.0,78.0,82.0,76.0,82.0,49.0,83.0,73.0,84.0,4,0,1,ST,0,1,2.0,1.5368965213915706,1.2877745700334566,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1095,21,84.0,88.0,-0.20825790069322667,0.23168563661680555,-0.011297451604715118,7,9.0,Right,3.0,4.0,3.0,89.0,83.0,74.0,87.0,41.0,72.0,72.0,85.0,4,6,1,ST,0,1,3.0,1.7679851833702078,1.3729177305412428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1484,21,84.0,88.0,-0.42877946232494174,0.08991969774701447,-0.2695624499171517,15,25.0,Right,4.0,3.0,1.0,71.0,62.0,68.0,74.0,87.0,84.0,50.0,50.0,1,4,9,CDM,1,9,3.0,1.7038726303044405,0.9634019523378544,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,21,83.0,83.0,1.7764361539922093,-1.7530375075602693,-1.9482849389479897,18,28.0,Right,4.0,3.0,3.0,56.0,75.0,86.0,83.0,72.0,66.0,85.0,73.0,1,1,7,CM,0,24,1.0,1.1504191866935478,1.0860381801945582,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
521,21,83.0,83.0,0.8943499074653488,-0.33537811886235874,0.5052325450201581,6,8.0,Right,4.0,4.0,3.0,66.0,74.0,84.0,84.0,72.0,71.0,78.0,71.0,13,3,12,CM,1,24,2.0,1.4327858729169187,1.3994761325093288,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
